Date,Open,High,Low,Close,Adj Close,Volume
2022-04-25,213.070007,215.699997,210.789993,215.389999,210.943649,9271800
2022-04-26,214.259995,214.410004,209.250000,209.250000,204.930405,6891100
2022-04-27,209.850006,212.399994,208.550003,209.660004,205.331940,4955900
2022-04-28,211.880005,215.750000,209.449997,214.770004,210.336456,3767700
2022-04-29,212.899994,214.309998,206.710007,206.880005,202.609314,7330500
2022-05-02,207.149994,209.130005,203.710007,208.440002,204.137131,10630500
2022-05-03,208.490005,210.610001,207.880005,209.429993,205.106674,3901800
2022-05-04,209.720001,215.910004,207.690002,215.570007,211.119934,3870600
2022-05-05,213.289993,213.389999,205.460007,207.619995,203.334030,5186700
2022-05-06,206.419998,207.820007,203.110001,205.949997,201.698532,5193900
2022-05-09,203.000000,203.380005,197.860001,198.649994,194.549225,9551400
2022-05-10,201.889999,202.710007,196.550003,199.050003,194.940964,7605000
2022-05-11,198.589996,201.630005,195.149994,195.449997,191.415283,6365500
2022-05-12,194.059998,197.589996,192.119995,195.660004,191.620941,7964900
2022-05-13,197.910004,201.750000,197.740005,200.899994,196.752762,4543200
2022-05-16,200.389999,201.860001,198.860001,199.910004,195.783203,4479400
2022-05-17,203.380005,204.259995,201.160004,204.179993,199.965057,3954500
2022-05-18,201.820007,202.020004,195.440002,196.190002,192.139999,4712200
2022-05-19,194.490005,197.660004,193.880005,195.320007,191.287979,5710900
2022-05-20,197.039993,197.539993,190.660004,195.320007,191.287979,5153300
2022-05-23,196.649994,199.149994,195.460007,198.660004,194.559006,5018000
2022-05-24,196.570007,197.300003,193.320007,196.669998,192.610107,4788700
2022-05-25,195.949997,199.860001,195.779999,198.860001,194.754898,4921900
2022-05-26,199.399994,203.800003,199.369995,202.929993,198.740845,4216700
2022-05-27,204.270004,208.089996,204.179993,208.070007,203.774765,4381100
2022-05-31,207.169998,208.350006,205.190002,206.360001,202.100067,4100900
2022-06-01,207.669998,208.320007,203.460007,205.000000,200.768143,3087800
2022-06-02,205.000000,209.199997,204.000000,209.179993,204.861847,2977800
2022-06-03,206.679993,207.610001,205.300003,205.839996,201.590775,2694100
2022-06-06,208.119995,208.789993,205.910004,206.449997,202.188202,2745500
2022-06-07,204.630005,208.880005,204.350006,208.690002,204.381958,3350500
